confirmed,deaths,timestamp,province_state,long,country_region,timestamp.date,lat,recovered
7338,187,1587556800,null,8.4689,Norway,2020-04-22,60.472,32
1259,56,1587556800,null,21.7453,North Macedonia,2020-04-22,41.6086,272
873,28,1587556800,null,8.6753,Nigeria,2020-04-22,982.0,197
662,22,1587556800,null,8817.0,Niger,2020-04-22,17.6078,193
1451,14,1587556800,null,174.886,New Zealand,2020-04-22,-40.9006,1036
71,11,1587556800,Sint Maarten,-63548.0,Netherlands,2020-04-22,18425.0,22
100,2,1587556800,Aruba,-70358.0,Netherlands,2020-04-22,12.5186,68
34842,4054,1587556800,null,5.2913,Netherlands,2020-04-22,52.1326,0
45,0,1587556800,null,84.25,Nepal,2020-04-22,28.1667,7
41,0,1587556800,null,35.529562,Mozambique,2020-04-22,-18.665695,8
3446,149,1587556800,null,-7926.0,Morocco,2020-04-22,31.7917,417
315,5,1587556800,null,19.3,Montenegro,2020-04-22,42.5,116
442,6,1587556800,null,-14.4524,Senegal,2020-04-22,14.4974,253
61,0,1587556800,null,-11.779889,Sierra Leone,2020-04-22,8.460555,6
10141,12,1587556800,null,103.8333,Singapore,2020-04-22,1.2833,896
1244,14,1587556800,null,19.699,Slovakia,2020-04-22,48.669,284
474,4,1587556800,null,35.2332,West Bank and Gaza,2020-04-22,31.9522,71
268,0,1587556800,null,108.0,Vietnam,2020-04-22,16.0,223
288,10,1587556800,null,-66.5897,Venezuela,2020-04-22,6.4238,122
1716,7,1587556800,null,64.5853,Uzbekistan,2020-04-22,41.3775,450
543,12,1587556800,null,-55.7658,Uruguay,2020-04-22,-32.5228,324
11,1,1587556800,Turks and Caicos Islands,-71.7979,United Kingdom,2020-04-22,21.694,4
307,15,1587556800,Isle of Man,-4.5481,United Kingdom,2020-04-22,54.2361,212
132,0,1587556800,Gibraltar,-5.3536,United Kingdom,2020-04-22,36.1408,127
498,28,1587556800,Channel Islands,-2.3644,United Kingdom,2020-04-22,49.3723,285
99,5,1587556800,Bermuda,-64.7505,United Kingdom,2020-04-22,32.3078,39
133495,18100,1587556800,null,-3.436,United Kingdom,2020-04-22,55.3781,0
8238,52,1587556800,null,54.0,United Arab Emirates,2020-04-22,24.0,1546
6592,174,1587556800,null,31.1656,Ukraine,2020-04-22,48.3794,424
63,0,1587556800,null,32.0,Uganda,2020-04-22,1.0,45
839675,46583,1587556800,null,-95.7129,US,2020-04-22,37902.0,77366
98674,2376,1587556800,null,35.2433,Turkey,2020-04-22,38.9637,16477
909,38,1587556800,null,9.0,Tunisia,2020-04-22,34.0,190
115,8,1587556800,null,-61.2225,Trinidad and Tobago,2020-04-22,10.6918,37
88,6,1587556800,null,0.8248000000000001,Togo,2020-04-22,8.6195,56
1950,48,1587556800,null,15.2,Croatia,2020-04-22,45.1,869
284,10,1587556800,null,34.8888,Tanzania,2020-04-22,-6.369,11
426,6,1587556800,null,121.0,Taiwan*,2020-04-22,23.7,236
28268,1509,1587556800,null,8.2275,Switzerland,2020-04-22,46.8182,19900
16004,1937,1587556800,null,16.0,Sweden,2020-04-22,63.0,550
140,13,1587556800,null,30.2176,Sudan,2020-04-22,12.8628,12
330,7,1587556800,null,81.0,Sri Lanka,2020-04-22,7.0,105
208389,21717,1587556800,null,-4.0,Spain,2020-04-22,40.0,85915
3635,65,1587556800,null,22.9375,South Africa,2020-04-22,-30.5595,1055
1353,79,1587556800,null,14.9955,Slovenia,2020-04-22,46.1512,205
35,0,1587556800,null,103.8467,Mongolia,2020-04-22,46.8625,8
2826,49,1587556800,null,101.0,Thailand,2020-04-22,15.0,2352
9501,857,1587556800,null,-102.5528,Mexico,2020-04-22,23.6345,2627
155860,21340,1587556800,null,2.2137000000000002,France,2020-04-22,46.2276,40657
67,7,1587556800,null,-58.75,Guyana,2020-04-22,5.0,9
761,6,1587556800,null,-9.6966,Guinea,2020-04-22,9.9456,164
316,8,1587556800,null,-90.2308,Guatemala,2020-04-22,15.7835,24
15,0,1587556800,null,-61.679,Grenada,2020-04-22,12.1165,6
2408,121,1587556800,null,21.8243,Greece,2020-04-22,39742.0,577
1154,9,1587556800,null,-1232.0,Ghana,2020-04-22,7.9465,99
150648,5279,1587556800,null,9.0,Germany,2020-04-22,51.0,99400
416,5,1587556800,null,43.3569,Georgia,2020-04-22,42.3154,107
166,1,1587556800,null,11.6094,Gabon,2020-04-22,-0.8037000000000001,24
38,2,1587556800,St Martin,-63501.0,France,2020-04-22,18708.0,19
326,4,1587556800,Mayotte,45.1662,France,2020-04-22,-12.8275,125
164,14,1587556800,Martinique,-61242.0,France,2020-04-22,14.6415,73
57,0,1587556800,French Polynesia,149.4068,France,2020-04-22,-17.6797,35
97,1,1587556800,French Guiana,-53.1258,France,2020-04-22,3.9339,83
4129,149,1587556800,null,26.0,Finland,2020-04-22,64.0,2000
510,46,1587556800,null,-86.2419,Honduras,2020-04-22,15.2,30
18,0,1587556800,null,17865.0,Fiji,2020-04-22,-17.7134,8
116,3,1587556800,null,40.4897,Ethiopia,2020-04-22,9.145,21
1559,44,1587556800,null,25136.0,Estonia,2020-04-22,58.5953,184
84,1,1587556800,null,10.0,Equatorial Guinea,2020-04-22,1.5,7
3659,276,1587556800,null,30.0,Egypt,2020-04-22,26.0,935
10850,537,1587556800,null,-78.1834,Ecuador,2020-04-22,-1.8312,1262
5300,260,1587556800,null,-70.1627,Dominican Republic,2020-04-22,18.7357,581
16,0,1587556800,null,-61.371,Dominica,2020-04-22,15.415,9
974,2,1587556800,null,42.5903,Djibouti,2020-04-22,11.8251,183
7912,384,1587556800,null,9.5018,Denmark,2020-04-22,56.2639,5087
7132,208,1587556800,null,15.473,Czechia,2020-04-22,49.8175,1989
790,13,1587556800,null,33.4299,Cyprus,2020-04-22,35.1264,98
1189,40,1587556800,null,-80.0,Cuba,2020-04-22,22.0,341
329,9,1587556800,null,57.5,Mauritius,2020-04-22,-20.2,261
62,4,1587556800,null,-72.2852,Haiti,2020-04-22,18.9712,2
237,7,1587556800,null,-88.8965,El Salvador,2020-04-22,13.7942,63
2168,225,1587556800,null,19.5033,Hungary,2020-04-22,47.1625,295
2248,13,1587556800,null,47.75,Kuwait,2020-04-22,29.5,443
444,3,1587556800,null,14.3754,Malta,2020-04-22,35.9375,165
1785,10,1587556800,null,-19208.0,Iceland,2020-04-22,64.9631,1462
293,17,1587556800,null,-3.996166,Mali,2020-04-22,17.570692,73
86,0,1587556800,null,73.2207,Maldives,2020-04-22,3.2028,16
5532,93,1587556800,null,112.5,Malaysia,2020-04-22,2.5,3452
23,3,1587556800,null,34.301525,Malawi,2020-04-22,-13.254308,3
3654,80,1587556800,null,6.1296,Luxembourg,2020-04-22,49.8153,711
1370,38,1587556800,null,23.8813,Lithuania,2020-04-22,55.1694,357
59,1,1587556800,null,17.228331,Libya,2020-04-22,26.3351,15
101,8,1587556800,null,-9.4295,Liberia,2020-04-22,6.4281,20
682,22,1587556800,null,35.8623,Lebanon,2020-04-22,33.8547,113
761,11,1587556800,null,24.6032,Latvia,2020-04-22,56.8796,133
19,0,1587556800,null,102.495496,Laos,2020-04-22,19.85627,4
612,7,1587556800,null,74.7661,Kyrgyzstan,2020-04-22,41.2044,254
121,0,1587556800,null,46.8691,Madagascar,2020-04-22,-18.7669,52
10694,238,1587556800,null,128.0,"Korea, South",2020-04-22,36.0,8277
187327,25085,1587556800,null,12.0,Italy,2020-04-22,43.0,54543
7418,635,1587556800,null,113.9213,Indonesia,2020-04-22,-0.7893,913
21370,681,1587556800,null,78.0,India,2020-04-22,21.0,4370
303,14,1587556800,null,37.9062,Kenya,2020-04-22,-236.0,74
85996,5391,1587556800,null,53.0,Iran,2020-04-22,32.0,63113
1631,83,1587556800,null,44.0,Iraq,2020-04-22,33.0,1146
14498,189,1587556800,null,35.0,Israel,2020-04-22,31.0,5215
16671,769,1587556800,null,-7.6921,Ireland,2020-04-22,53.1424,9233
233,6,1587556800,null,-77.2975,Jamaica,2020-04-22,18.1096,27
11512,281,1587556800,null,138.0,Japan,2020-04-22,36.0,1356
435,7,1587556800,null,36.51,Jordan,2020-04-22,31.24,315
2135,19,1587556800,null,66.9237,Kazakhstan,2020-04-22,48196.0,515
68128,4512,1587470400,Hubei,112.2707,China,2020-04-21,30.9756,63514
320,4,1587470400,Saskatchewan,-106.4509,Canada,2020-04-21,52.9399,null
653,0,1587470400,Jiangsu,119.455,China,2020-04-21,32.9711,644
1029,4,1587470400,Hong Kong,114.2,China,2020-04-21,22.3,650
913,13,1587470400,Heilongjiang,127.7615,China,2020-04-21,47.862,475
1582,8,1587470400,Guangdong,113.4244,China,2020-04-21,23.3417,1501
106,1,1587470400,Jilin,126.1923,China,2020-04-21,43.6661,97
355,1,1587470400,Fujian,117.9874,China,2020-04-21,26789.0,341
593,8,1587470400,Beijing,116.4142,China,2020-04-21,40.1824,516
10832,147,1587470400,null,-71.543,Chile,2020-04-21,-35.6751,4969
255,6,1587470400,Manitoba,-98.8139,Canada,2020-04-21,53.7609,null
null,null,1587470400,Recovery aggregated,-106.3468,Canada,2020-04-21,56.1304,13188
20126,1044,1587470400,Quebec,-73.5491,Canada,2020-04-21,52.9399,null
12715,694,1587470400,Ontario,-85.3232,Canada,2020-04-21,51.2538,null
737,10,1587470400,Nova Scotia,-63.7443,Canada,2020-04-21,44.682,null
1724,87,1587470400,British Columbia,-123.1207,Canada,2020-04-21,49.2827,null
3095,61,1587470400,Alberta,-116.5765,Canada,2020-04-21,53.9333,null
1163,43,1587470400,null,11.5021,Cameroon,2020-04-21,3.848,329
277,3,1587470400,Shaanxi,108.8701,China,2020-04-21,35.1917,253
121,5,1587470400,null,95.956,Burma,2020-04-21,21.9162,7
68,1,1587470400,null,-23418.0,Cabo Verde,2020-04-21,16.5388,1
45,0,1587470400,Macau,113.55,China,2020-04-21,22.1667,24
5044,245,1587470400,null,-70.1627,Dominican Republic,2020-04-21,18.7357,463
638,7,1587470400,Shanghai,121.4491,China,2020-04-21,31.202,530
945,2,1587470400,null,42.5903,Djibouti,2020-04-21,11.8251,112
158050,20796,1587470400,null,2.2137000000000002,France,2020-04-21,46.2276,39181
975,45,1587470400,null,25.4858,Bulgaria,2020-04-21,42.7339,170
4014,141,1587470400,null,26.0,Finland,2020-04-21,64.0,2000
114,3,1587470400,null,40.4897,Ethiopia,2020-04-21,9.145,16
1552,43,1587470400,null,25136.0,Estonia,2020-04-21,58.5953,169
83,0,1587470400,null,10.0,Equatorial Guinea,2020-04-21,1.5,7
225,7,1587470400,null,-88.8965,El Salvador,2020-04-21,13.7942,48
3490,264,1587470400,null,30.0,Egypt,2020-04-21,26.0,870
10398,520,1587470400,null,-78.1834,Ecuador,2020-04-21,-1.8312,1207
7695,370,1587470400,null,9.5018,Denmark,2020-04-21,56.2639,4700
1268,1,1587470400,Zhejiang,120934.0,China,2020-04-21,29.1832,1251
7033,201,1587470400,null,15.473,Czechia,2020-04-21,49.8175,1753
784,12,1587470400,null,33.4299,Cyprus,2020-04-21,35.1264,98
1137,38,1587470400,null,-80.0,Cuba,2020-04-21,22.0,309
1908,48,1587470400,null,15.2,Croatia,2020-04-21,45.1,801
916,13,1587470400,null,-5.5471,Cote d'Ivoire,2020-04-21,7.54,303
669,6,1587470400,null,-83.7534,Costa Rica,2020-04-21,9.7489,150
350,25,1587470400,null,21.7587,Congo (Kinshasa),2020-04-21,-4383.0,35
165,6,1587470400,null,21.7587,Congo (Brazzaville),2020-04-21,-4383.0,16
4149,196,1587470400,null,-74.2973,Colombia,2020-04-21,4.5709,804
600,38,1587470400,null,-1.5615999999999999,Burkina Faso,2020-04-21,12.2383,362
39,0,1587470400,null,35.529562,Mozambique,2020-04-21,-18.665695,8
43079,2741,1587470400,null,-51.9253,Brazil,2020-04-21,-14.235,22991
37,2,1587470400,St Martin,-63501.0,France,2020-04-21,18708.0,19
56,0,1587470400,French Polynesia,149.4068,France,2020-04-21,-17.6797,19
18,0,1587470400,null,17865.0,Fiji,2020-04-21,-17.7134,3
5,1,1587470400,null,29.9189,Burundi,2020-04-21,-3.3731,4
138,1,1587470400,null,114.7277,Brunei,2020-04-21,4.5353,116
132,0,1587470400,Gibraltar,-5.3536,United Kingdom,2020-04-21,36.1408,120
67,10,1587470400,Sint Maarten,-63548.0,Netherlands,2020-04-21,18425.0,12
1042,9,1587470400,null,-1232.0,Ghana,2020-04-21,7.9465,99
561,3,1587470400,Sichuan,102.7103,China,2020-04-21,30.6171,554
20,1,1587470400,null,24.6849,Botswana,2020-04-21,-22.3285,0
787,7,1587470400,Shandong,118.1498,China,2020-04-21,36.3427,765
1342,51,1587470400,null,17.6791,Bosnia and Herzegovina,2020-04-21,43.9159,437
257,3,1587470400,Newfoundland and Labrador,-57.6604,Canada,2020-04-21,53.1355,null
24,2,1587470400,null,17.8739,Angola,2020-04-21,-11.2027,6
19,0,1587470400,null,102.495496,Laos,2020-04-21,19.85627,2
14,0,1587470400,null,-61.679,Grenada,2020-04-21,12.1165,6
11,1,1587470400,Turks and Caicos Islands,-71.7979,United Kingdom,2020-04-21,21.694,0
7,0,1587470400,null,143.9555,Papua New Guinea,2020-04-21,-6.315,0
16,0,1587470400,null,-61.371,Dominica,2020-04-21,15.415,8
13,0,1587470400,Grand Princess,-122.6655,Canada,2020-04-21,37.6489,null
163,14,1587470400,Martinique,-61242.0,France,2020-04-21,14.6415,73
57,3,1587470400,null,-72.2852,Haiti,2020-04-21,18.9712,0
51,1,1587470400,null,17.228331,Libya,2020-04-21,26.3351,15
665,22,1587470400,null,8.6753,Nigeria,2020-04-21,982.0,188
15,0,1587470400,null,-62.782998,Saint Kitts and Nevis,2020-04-21,17.357822,0
598,34,1587470400,null,-63.5887,Bolivia,2020-04-21,-16.2902,37
40956,5998,1587470400,null,4.0,Belgium,2020-04-21,50.8333,9002
6723,55,1587470400,null,27.9534,Belarus,2020-04-21,53.7098,577
3382,110,1587470400,null,90.3563,Bangladesh,2020-04-21,23.685,87
1973,7,1587470400,null,50.55,Bahrain,2020-04-21,26275.0,784
1480,20,1587470400,null,47.5769,Azerbaijan,2020-04-21,40.1431,865
14873,491,1587470400,null,14.5501,Austria,2020-04-21,47.5162,10971
1401,24,1587470400,null,45382.0,Armenia,2020-04-21,40691.0,609
3031,147,1587470400,null,-63.6167,Argentina,2020-04-21,-38.4161,840
